Top Left, Top Right, Bottom Left, Bottom Right

Cloud 1 - (40,40),(708,40),(40,225),(708,225)
Cloud 2 - (40,330),(441,330),(40,444),(441,444)
Cloud 3 - (40,550),(409,550),(40,678),(409,678)
Cloud 4 - (40,800),(453,800),(40,921),(453,921)

Mountains - (0,306),(1024,306),(0,1024),(1024,1024)

Grass - (0,688),(1024,688),(0,1024),(1024,1024)

Meteor - (0,0),(45,0),(0,45),(45,45)

Cannon - (0,0),(70,0),(0,127),(70,127)

Cannon Base - (0,0),(217,0),(0,159),(217,159)

Check Mark - (0,0),(255,0),(0,217),(255,217)

X - (0,250),(256,250),(0,495),(256,495)
